Year,January,February,March,April,May,June,July,August,September,October,November,December
1933,0.044,0.006,0.04,0,0.16,0.74,0.436,0.884,0.593,1.21,1.124,1.464
1934,0.865,0.757,0.903,0.176,0.24,0.109,0.185,0.109,0.27,0.068,0.012,0.058
1935,0.102,0.036,0.078,0.102,0.292,0.16,0.423,0.004,0.006,0.078,0.078,0.002
1936,0.548,0.24,0,0.084,0.005,0.123,0.116,0.102,0.01,0.144,0.001,0.397
1937,0.09,0.09,0.063,0.044,0.185,0.09,0.008,0.04,0.029,0.01,0.044,0.048
1938,0.044,0.053,0.004,0.008,0.109,0.774,0.96,0.656,0.078,0.563,0.518,0.624
1939,0.449,0.903,0.723,0.073,0.063,0.003,0.063,0.004,0.185,0.221,0.102,0.003
1940,1.392,1.904,1.416,0.64,0.116,0.303,0.044,0.563,0.003,0.102,0.49,1.932
1941,1.904,1.796,1.988,1.85,1.742,0.774,0.533,0.624,0.462,0.98,1.369,1.613
1942,0.372,0.281,0.063,0.325,0.01,0.27,0.303,0.922,1.369,1.742,2.25,1.538
1943,1.44,1.392,1.21,0.36,0.13,0.012,0.008,0.003,0.058,0.194,0.25,0.176
1944,0.176,0.026,0.044,0.012,0.02,0.002,0.006,0,0.096,0.048,0.123,0.068
1945,0.13,0.221,0.624,0.578,0.212,0.348,0.372,0.706,0.672,0.74,0.176,0.292
1946,0.194,0.058,0.13,0.23,0.152,0.023,0.001,0.27,0.036,0,0.032,0.001
1947,0.152,0.017,0.078,0.005,0.303,0.005,0.152,0.137,1.103,0.672,0.533,0.032
1948,0.003,0.137,0.397,0.063,0.096,0.004,0.004,0,0,0.462,0.09,0.144
1949,0.212,0.068,0.303,0.036,0.005,0.518,0.152,0.102,0.423,0.518,1.769,1.44
1950,1.103,2.25,1.145,0.828,1.69,0.74,1.166,0.397,1.21,0.689,1.904,1.082
1951,1.277,0.548,0.593,0.029,0.01,0.008,0.436,0.81,0.449,0.624,0.608,0.504
1952,0.152,0.058,0.002,0.168,0.144,0.436,0.348,0.176,0.123,0.002,0.102,0.303
1953,0.13,0.058,0.048,0.593,0.123,0.168,0.04,0.002,0.449,0.012,0.096,0.023
1954,0.152,0.044,0,0.102,0.281,0.64,1.04,1.166,1.061,0.828,1.369,0.624
1955,0.436,0.624,0.64,0.903,1.513,1.44,1.742,0.828,1.769,2.528,3.648,2.31
1956,1.513,0.96,0.865,0.608,0.348,0.689,0.884,0.656,0.828,0.476,1.02,0.336
1957,0.314,0.058,0.006,0.176,0.203,0.281,0.476,0.624,0.281,0.548,1.188,1.392
1958,2.372,1.96,0.98,0.096,0.102,0.09,0.002,0.058,0.096,0.001,0.003,0.09
1959,0.185,0.25,0.068,0.073,0,0.109,0.078,0.168,0.281,0.012,0.029,0.003
1960,0.1,0.058,0.006,0,0.003,0.04,0.063,0,0.001,0.005,0.144,0
1961,0.023,0.002,0.01,0.017,0,0.01,0.102,0.063,0.27,0.504,0.036,0.084
1962,0.063,0.026,0.168,0.102,0.176,0.048,0.09,0.017,0.314,0.109,0.185,0.24
1963,0.102,0.068,0.004,0.004,0,0.014,0.518,0.81,0.423,0.706,0.563,1.103
1964,0.578,0.303,0.026,0.281,0.548,0.774,0.423,0.578,0.865,1,1.21,1.145
1965,0.325,0.13,0.116,0.008,0.036,0.203,0.656,1.563,1.588,2.592,2.372,2.103
1966,1.277,0.689,0.689,0.292,0.004,0.02,0.053,0.01,0.003,0.003,0.137,0.068
1967,0.303,0.314,0.221,0.281,0.058,0.014,0.01,0.096,0.348,0.144,0.116,0.123
1968,0.36,0.548,0.578,0.221,0.194,0.036,0.096,0.109,0.003,0.102,0.578,0.578
1969,0.81,1.04,0.372,0.109,0.152,0.068,0.01,0.27,0.221,0.436,0.563,0.462
1970,0.303,0.13,0.068,0.032,0,0.09,0.96,0.903,0.608,0.423,0.723,1.232
1971,2.161,1.638,1.664,0.941,0.672,0.608,0.41,0.423,0.563,0.608,0.723,0.792
1972,0.336,0.048,0.063,0.044,0.109,0.436,0.689,1.69,1.416,3.133,3.497,4.796
1973,2.56,1.166,0.336,0.005,0.314,0.74,1.3,1.464,1.96,2.496,4.285,4.752
1974,4.08,2.25,2.074,1,0.624,0.49,0.423,0.102,0.123,0.563,0.922,0.74
1975,0.137,0.109,0.348,0.348,1,1.563,1.538,1.346,2.074,2.161,2.132,2.69
